epoch, time     , train/box_loss, train/cls_loss, train/dfl_loss, metrics/precision(B), metrics/recall(B), metrics/mAP50(B), metrics/mAP50-95(B), val/box_loss, val/cls_loss, val/dfl_loss, lr/pg0    , lr/pg1    , lr/pg2
    1,   29.7124,        1.25199,        3.41892,        1.62941,              0.05814,           0.79155,          0.25938,             0.16025,      1.09581,      3.15127,      1.59328, 0.00329218, 0.00329218, 0.0703704
    2,   45.8413,        1.22106,        2.67276,        1.53714,              0.30342,           0.62105,          0.3855 ,             0.22334,      1.34489,      2.37851,      1.73844, 0.00655992, 0.00655992, 0.0403048
    3,   61.4906,        1.26832,        2.3459 ,        1.54334,              0.17898,           0.26232,          0.15011,             0.07093,      1.9354 ,      2.99975,      2.48954, 0.00976166, 0.00976166, 0.0101732
    4,   77.0907,        1.25477,        2.223  ,        1.53647,              0.39925,           0.6176 ,          0.40978,             0.2229 ,      1.39786,      2.14217,      2.03879, 0.009703  , 0.009703  , 0.009703
    5,   92.5232,        1.27827,        2.13325,        1.55522,              0.36376,           0.46045,          0.43858,             0.27291,      1.33361,      1.91393,      1.89307, 0.009604  , 0.009604  , 0.009604
    6,  108.485 ,        1.25247,        2.01012,        1.53469,              0.47135,           0.5697 ,          0.4604 ,             0.23494,      1.42003,      2.09106,      1.91291, 0.009505  , 0.009505  , 0.009505
    7,  124.575 ,        1.24559,        1.86434,        1.50772,              0.46538,           0.44726,          0.44023,             0.25862,      1.33396,      1.90405,      1.75763, 0.009406  , 0.009406  , 0.009406
    8,  140.326 ,        1.22232,        1.76603,        1.50122,              0.28258,           0.48893,          0.35689,             0.22093,      1.21242,      2.13797,      1.62574, 0.009307  , 0.009307  , 0.009307
    9,  155.863 ,        1.20083,        1.73798,        1.48546,              0.37792,           0.52117,          0.41841,             0.25203,      1.24411,      2.26247,      1.70653, 0.009208  , 0.009208  , 0.009208
   10,  171.778 ,        1.21285,        1.60875,        1.46536,              0.48055,           0.72565,          0.6394 ,             0.39275,      1.15512,      1.32425,      1.59138, 0.009109  , 0.009109  , 0.009109
   11,  187.478 ,        1.14534,        1.56222,        1.43895,              0.50649,           0.60099,          0.60451,             0.3908 ,      1.19883,      1.46734,      1.6338 , 0.00901   , 0.00901   , 0.00901
   12,  202.998 ,        1.15396,        1.53891,        1.431  ,              0.51202,           0.73955,          0.64234,             0.40343,      1.2736 ,      1.2773 ,      1.68803, 0.008911  , 0.008911  , 0.008911
   13,  218.871 ,        1.14311,        1.46156,        1.4419 ,              0.54844,           0.63097,          0.62123,             0.43598,      1.06977,      1.3152 ,      1.49918, 0.008812  , 0.008812  , 0.008812
   14,  234.75  ,        1.15928,        1.49881,        1.42485,              0.51483,           0.64539,          0.63205,             0.45171,      1.016  ,      1.31241,      1.45588, 0.008713  , 0.008713  , 0.008713
   15,  250.297 ,        1.12613,        1.40484,        1.41149,              0.49482,           0.72821,          0.60715,             0.41087,      1.13929,      1.31983,      1.5841 , 0.008614  , 0.008614  , 0.008614
   16,  266.166 ,        1.11464,        1.39647,        1.40784,              0.39868,           0.72984,          0.59285,             0.38899,      1.10374,      1.38035,      1.56115, 0.008515  , 0.008515  , 0.008515
   17,  283.524 ,        1.07625,        1.32759,        1.38912,              0.50962,           0.71777,          0.66079,             0.46831,      1.1222 ,      1.24672,      1.56097, 0.008416  , 0.008416  , 0.008416
   18,  300.705 ,        1.07429,        1.31333,        1.38961,              0.58904,           0.56652,          0.61481,             0.43657,      1.13828,      1.4732 ,      1.54429, 0.008317  , 0.008317  , 0.008317
   19,  317.101 ,        1.0642 ,        1.23958,        1.38253,              0.6142 ,           0.73758,          0.73679,             0.52538,      1.06812,      1.11773,      1.45106, 0.008218  , 0.008218  , 0.008218
   20,  334.052 ,        1.07043,        1.22951,        1.37749,              0.66443,           0.72199,          0.7186 ,             0.48431,      1.18137,      1.13734,      1.60991, 0.008119  , 0.008119  , 0.008119
   21,  353.015 ,        1.06722,        1.23232,        1.37347,              0.60645,           0.5842 ,          0.66327,             0.43072,      1.34035,      1.39956,      1.78069, 0.00802   , 0.00802   , 0.00802
